index,Waypoint on GPS,Final Waypoint,Fishing day,set,Date,Biologist,Captain,Region,Site,Lumped site,Latitude,Longitude,Anglers,Bait type,Species or lure type,Color of lure,Size of bait (cm),Depth (ft),Species,Length,Weight,Sex,Fin clip #,Floy tag,Take or Released,"Notes (stomach, eyes, etc.)",taxa,Other notes/ Blood vial number,,,,,,,,,,,,,,,,,,,
48,218,218,4,4.11,4/18/17,JS,SK,SJI,Eagle Point,Eagle Point,48.46128798,-123.0479026,4,Artificial lure,PWD,Green,8,230,lingcod,108,13,F,35A,NA,Take,,lingcod,,,,,,,,,,,,,,,,,,,,
49,220,220,4,4.12,4/18/17,JS,SK,SJI,Eagle Point,Eagle Point,48.46137506,-123.0477896,4,Artificial lure,PWD,Green,8,209,lingcod,73,4,F,67A,109,Released,,lingcod,,,,,,,,,,,,,,,,,,,,
50,220,220,4,4.12,4/18/17,JS,SK,SJI,Eagle Point,Eagle Point,48.46137506,-123.0477896,4,Artificial lure,PWD,Green,8,209,quillback rockfish,38,0.9,U,NA,NA,Released,,rockfish,,,,,,,,,,,,,,,,,,,,
51,224,224,4,4.14,4/18/17,JS,SK,SJI,Eagle Point,Eagle Point,48.46344338,-123.0557553,4,Artificial lure,PWD,Green,8,160,quillback rockfish,30,0.5,U,NA,NA,Released,,rockfish,,,,,,,,,,,,,,,,,,,,
52,224,224,4,4.14,4/18/17,JS,SK,SJI,Eagle Point,Eagle Point,48.46344338,-123.0557553,4,Artificial lure,PWD,Green,8,160,quillback rockfish,37,1.2,U,NA,NA,Released,,rockfish,,,,,,,,,,,,,,,,,,,,
53,227,227,4,4.15,4/18/17,JS,SK,SJI,Eagle Point,Eagle Point,48.46342201,-123.0556147,4,Artificial lure,PWD,Green,8,NA,quillback rockfish,35,0.92,U,NA,NA,Released,,rockfish,,,,,,,,,,,,,,,,,,,,
54,227,227,4,4.15,4/18/17,JS,SK,SJI,Eagle Point,Eagle Point,48.46342201,-123.0556147,4,Artificial lure,PWD,Green,8,NA,quillback rockfish,37,1,U,NA,NA,Released,,rockfish,,,,,,,,,,,,,,,,,,,,
55,227,227,4,4.15,4/18/17,JS,SK,SJI,Eagle Point,Eagle Point,48.46342201,-123.0556147,4,Artificial lure,PWD,Green,8,NA,quillback rockfish,29.5,0.4,U,NA,NA,Released,,rockfish,,,,,,,,,,,,,,,,,,,,
56,230,230,4,4.16,4/18/17,JS,SK,SJI,Pile Point,Pile Point,48.48008113,-123.0925181,3,Herring,NA,NA,6,140,lingcod,68,3,F,22A,NA,Take,,lingcod,,,,,,,,,,,,,,,,,,,,
57,230,230,4,4.16,4/18/17,JS,SK,SJI,Pile Point,Pile Point,48.48008113,-123.0925181,3,Herring,NA,NA,6,155,quillback rockfish,39,1.5,U,NA,NA,Released,,rockfish,,,,,,,,,,,,,,,,,,,,
58,233,233,4,4.17,4/18/17,JS,SK,SJI,Pile Point,Pile Point,48.48032998,-123.0925458,3,Herring,NA,NA,6,117,lingcod,54,1.4,M,64A,NA,Take,,lingcod,,,,,,,,,,,,,,,,,,,,
59,235,235,4,4.18,4/18/17,JS,SK,SJI,Pile Point,Pile Point,48.48020895,-123.0924337,3,Herring,NA,NA,6,135,lingcod,55,1.74,M,24A,NA,Take,,lingcod,,,,,,,,,,,,,,,,,,,,
60,236,236,4,4.18,4/18/17,JS,SK,SJI,Pile Point,Pile Point,48.48004324,-123.0924196,3,Herring,NA,NA,6,155,quillback rockfish,40,1.24,U,NA,NA,Released,,rockfish,,,,,,,,,,,,,,,,,,,,
61,239,239,4,4.18,4/18/17,JS,SK,SJI,Pile Point,Pile Point,48.4801134,-123.0921964,3,Herring,NA,NA,6,173,lingcod,87,7.4,F,3A,NA,Take,,lingcod,,,,,,,,,,,,,,,,,,,,
