Datasheet start waypoint,Datasheet end waypoint,start waypoint,end waypoint,Date,Biologist,Captain,Region,fishing day,drift,set,Site,Lumped site,Anglers,Bait type,Species or lure type,Color of lure,Size of bait (cm),start time,end time,drift time (hrs),effort (angler hours),lingcod no.,rockfish no.,lingcod CPUE,rockfish CPUE
,,86,87,4/11/17,KA,SK,CPS,2,9,2.9,Klas rock,Klas rock,4,Artificial lure,PWD,Green,6,4/11/17 10:53,4/11/17 10:57,0.066666667,0.266666667,0,0,0,0
,,88,90,4/11/17,KA,SK,CPS,2,10,2.1,Klas rock,Klas rock,4,Artificial lure,PWD,Green,6,4/11/17 11:06,4/11/17 11:21,0.25,1,0,0,0,0
,,91,92,4/11/17,KA,SK,CPS,2,11,2.11,Keystone,Keystone east,2,Live large,Pacific sanddab,NA,NA,4/11/17 12:11,4/11/17 12:11,0.01,0.02,1,0,50,0
,,93,95,4/11/17,KA,SK,CPS,2,12,2.12,Keystone,Keystone east,2,Live large,Pacific sanddab,NA,NA,4/11/17 12:15,4/11/17 12:20,0.083333333,0.166666667,0,0,0,0
,,96,100,4/11/17,KA,SK,CPS,2,13,2.13,Keystone,Keystone east,3,Live large,Pacific sanddab,NA,NA,4/11/17 12:23,4/11/17 12:32,0.15,0.45,2,0,4.444444445,0
,,101,102,4/11/17,KA,SK,CPS,2,14,2.14,Keystone,Keystone east,3,Live large,Pacific sanddab,NA,NA,4/11/17 12:46,4/11/17 12:51,0.083333333,0.25,0,0,0,0
,,103,107,4/11/17,KA,SK,CPS,2,15,2.15,Keystone,Keystone east,3,Live large,Pacific sanddab,NA,NA,4/11/17 12:56,4/11/17 13:10,0.233333333,0.7,3,0,4.285714288,0
,,108,110,4/11/17,KA,SK,CPS,2,16,2.16,Keystone,Keystone east,3,Live large,Pacific sanddab,NA,NA,4/11/17 13:21,4/11/17 13:24,0.05,0.15,3,0,20,0
,,111,113,4/11/17,KA,SK,CPS,2,17,2.17,Possession offshore,Possession offshore,4,Herring,Herring,NA,12,4/11/17 14:38,4/11/17 14:49,0.183333333,0.733333333,0,1,0,1.363636364
,,114,116,4/11/17,KA,SK,CPS,2,18,2.18,Possession offshore,Possession offshore,4,Herring,Herring,NA,12,4/11/17 14:54,4/11/17 15:09,0.25,1,0,0,0,0
,,117,118,4/11/17,KA,SK,CPS,2,19,2.19,Possession offshore,Possession offshore,4,Herring,Herring,NA,12,4/11/17 15:16,4/11/17 15:33,0.283333333,1.133333334,0,0,0,0
,,119,122,4/11/17,KA,SK,CPS,2,20,2.2,Possession offshore,Possession offshore,4,Herring,Herring,NA,12,4/11/17 15:38,4/11/17 15:52,0.233333333,0.933333334,0,2,0,2.142857142
,,123,124,4/11/17,KA,SK,CPS,2,21,2.21,Possession offshore,Possession offshore,4,Herring,Herring,NA,12,4/11/17 15:57,4/11/17 16:07,0.166666667,0.666666667,0,0,0,0
,,127,128,4/17/17,KA,SK,SJI,3,1,3.1,Peapod/Buckeye/Sisters,Point Lawrence,3,Live large,Pacific sanddab,NA,NA,4/17/17 8:01,4/17/17 8:02,0.016666667,0.05,0,0,0,0
,,129,130,4/17/17,KA,SK,SJI,3,2,3.2,Peapod/Buckeye/Sisters,Point Lawrence,3,Live large,Pacific sanddab,NA,NA,4/17/17 8:08,4/17/17 8:15,0.116666667,0.35,0,2,0,5.714285713
,,131,132,4/17/17,KA,SK,SJI,3,3,3.3,Peapod/Buckeye/Sisters,Point Lawrence,3,Live large,Pacific sanddab,NA,NA,4/17/17 8:20,4/17/17 8:24,0.066666667,0.2,0,0,0,0
,,133,134,4/17/17,KA,SK,SJI,3,4,3.4,Peapod/Buckeye/Sisters,Point Lawrence,3,Live large,Pacific sanddab,NA,NA,4/17/17 8:31,4/17/17 8:54,0.383333333,1.15,0,0,0,0
,,135,136,4/17/17,KA,SK,SJI,3,5,3.5,Peapod/Buckeye/Sisters,Point Lawrence,3,Live large,Pacific sanddab,NA,NA,4/17/17 8:59,4/17/17 9:05,0.1,0.3,0,0,0,0
,,137,139,4/17/17,KA,SK,SJI,3,6,3.6,Peapod/Buckeye/Sisters,Point Lawrence,3,Live large,Pacific sanddab,NA,NA,4/17/17 9:10,4/17/17 9:23,0.216666667,0.65,1,0,1.538461538,0
,,140,141,4/17/17,KA,SK,SJI,3,7,3.7,Peapod/Buckeye/Sisters,Point Lawrence,3,Live large,Pacific sanddab,NA,NA,4/17/17 9:25,4/17/17 9:34,0.15,0.45,0,0,0,0
,,142,143,4/17/17,KA,SK,SJI,3,8,3.8,Peapod/Buckeye/Sisters,Point Lawrence,3,Live large,Pacific sanddab,NA,NA,4/17/17 9:44,4/17/17 9:50,0.1,0.3,0,0,0,0
,,144,145,4/17/17,KA,SK,SJI,3,9,3.9,Peapod/Buckeye/Sisters,Point Lawrence,3,Live large,Pacific sanddab,NA,NA,4/17/17 9:54,4/17/17 9:57,0.05,0.15,0,0,0,0
,,147,148,4/17/17,KA,SK,SJI,3,10,3.1,Point Lawrence,Point Lawrence,3,Artificial lure,Jigs,Motor oil w/green skirt,8,4/17/17 10:20,4/17/17 10:23,0.05,0.15,0,0,0,0
,,149,150,4/17/17,KA,SK,SJI,3,11,3.11,Point Lawrence,Point Lawrence,4,Artificial lure,Jigs,Motor oil w/green skirt,8,4/17/17 10:26,4/17/17 10:29,0.05,0.2,0,0,0,0
,,151,152,4/17/17,KA,SK,SJI,3,12,3.12,Point Lawrence,Point Lawrence,4,Artificial lure,Jigs,Motor oil w/green skirt,8,4/17/17 10:34,4/17/17 10:39,0.083333333,0.333333333,0,0,0,0
,,153,154,4/17/17,KA,SK,SJI,3,13,3.13,Point Lawrence,Point Lawrence,4,Artificial lure,Jigs,Motor oil w/green skirt,8,4/17/17 10:44,4/17/17 10:47,0.05,0.2,1,0,5.000000001,0
,,155,156,4/17/17,KA,SK,SJI,3,14,3.14,Point Lawrence,Point Lawrence,3,Artificial lure,Jigs,Motor oil w/green skirt,8,4/17/17 10:57,4/17/17 10:59,0.033333333,0.1,2,0,20.00000004,0
,,157,158,4/17/17,KA,SK,SJI,3,15,3.15,Point Lawrence,Point Lawrence,3,Artificial lure,Jigs,Motor oil w/green skirt,8,4/17/17 11:07,4/17/17 11:09,0.033333333,0.1,0,0,0,0
,,159,161,4/17/17,KA,SK,SJI,3,16,3.16,Point Lawrence,Point Lawrence,3,Artificial lure,Jigs,Motor oil w/green skirt,8,4/17/17 11:14,4/17/17 11:16,0.033333333,0.1,1,0,9.999999967,0
,,162,163,4/17/17,KA,SK,SJI,3,17,3.17,Point Lawrence,Point Lawrence,3,Artificial lure,Jigs,Motor oil w/green skirt,8,4/17/17 11:22,4/17/17 11:22,0.01,0.03,0,0,0,0
,,164,165,4/17/17,KA,SK,SJI,3,18,3.18,Point Lawrence,Point Lawrence,4,Artificial lure,Jigs,Motor oil w/green skirt,8,4/17/17 11:28,4/17/17 11:30,0.033333333,0.133333333,0,0,0,0
,,166,167,4/17/17,KA,SK,SJI,3,19,3.19,Point Lawrence,Point Lawrence,4,Artificial lure,Jigs,Motor oil w/green skirt,8,4/17/17 11:33,4/17/17 11:36,0.05,0.2,2,0,10,0
,,168,170,4/17/17,KA,SK,SJI,3,20,3.2,Black Rock/Strawberry Island,Blakely channel,4,Herring,Herring,NA,12,4/17/17 12:33,4/17/17 12:38,0.083333333,0.333333333,0,2,0,6.000000006
,,171,173,4/17/17,KA,SK,SJI,3,21,3.21,Black Rock/Strawberry Island,Blakely channel,3,Herring,Herring,NA,12,4/17/17 12:42,4/17/17 12:45,0.05,0.15,0,2,0,13.33333334
,,174,176,4/17/17,KA,SK,SJI,3,22,3.22,Black Rock/Strawberry Island,Blakely channel,4,Herring,Herring,NA,12,4/17/17 12:53,4/17/17 12:57,0.066666667,0.266666666,0,2,0,7.500000015
,,177,178,4/17/17,KA,SK,SJI,3,23,3.23,Black Rock/Strawberry Island,Blakely channel,4,Herring,Herring,NA,12,4/17/17 13:06,4/17/17 13:09,0.05,0.200000001,0,0,0,0
,,179,180,4/17/17,KA,SK,SJI,3,24,3.24,Black Rock/Strawberry Island,Blakely channel,4,Herring,Herring,NA,12,4/17/17 13:15,4/17/17 13:23,0.133333333,0.533333333,0,0,0,0
,,181,182,4/17/17,KA,SK,SJI,3,25,3.25,Black Rock/Strawberry Island,Blakely channel,4,Herring,Herring,NA,12,4/17/17 13:30,4/17/17 13:31,0.016666667,0.066666667,0,1,0,14.99999995
,,183,185,4/17/17,KA,SK,SJI,3,26,3.26,Black Rock/Strawberry Island,Blakely channel,4,Herring,Herring,NA,12,4/17/17 13:38,4/17/17 13:47,0.15,0.6,0,0,0,0
,,186,187,4/17/17,KA,SK,SJI,3,27,3.27,Black Rock/Strawberry Island,Blakely channel,4,Herring,Herring,NA,12,4/17/17 13:48,4/17/17 13:55,0.116666667,0.466666667,0,0,0,0
,,191,192,4/18/17,JS,SK,SJI,4,1,4.1,San Juan Channel,San Juan channel,3,Live large,Rock sole,NA,NA,4/18/17 8:32,4/18/17 8:32,0.01,0.03,0,0,0,0
,,193,194,4/18/17,JS,SK,SJI,4,2,4.2,San Juan Channel,San Juan channel,3,Live large,Rock sole,NA,NA,4/18/17 8:34,4/18/17 9:02,0.466666667,1.4,0,0,0,0
,,195,199,4/18/17,JS,SK,SJI,4,3,4.3,San Juan Channel,San Juan channel,3,Live large,Rock sole,NA,NA,4/18/17 9:07,4/18/17 9:41,0.566666667,1.7,1,0,0.588235294,0
,,200,201,4/18/17,JS,SK,SJI,4,4,4.4,San Juan Channel,San Juan channel,3,Live large,Rock sole,NA,NA,4/18/17 9:44,4/18/17 9:52,0.133333333,0.4,0,0,0,0
,,202,203,4/18/17,JS,SK,SJI,4,5,4.5,San Juan Channel,San Juan channel,3,Live large,Rock sole,NA,NA,4/18/17 10:07,4/18/17 10:12,0.083333333,0.25,0,0,0,0
,,204,205,4/18/17,JS,SK,SJI,4,6,4.6,San Juan Channel,San Juan channel,3,Live large,Rock sole,NA,NA,4/18/17 10:17,4/18/17 10:23,0.1,0.3,0,0,0,0
,,206,207,4/18/17,JS,SK,SJI,4,7,4.7,San Juan Channel,San Juan channel,3,Live large,Rock sole,NA,NA,4/18/17 10:27,4/18/17 10:30,0.05,0.15,1,0,6.666666668,0
,,208,209,4/18/17,JS,SK,SJI,4,8,4.8,San Juan Channel,San Juan channel,3,Live large,Rock sole,NA,NA,4/18/17 10:38,4/18/17 10:50,0.2,0.6,0,0,0,0
,,210,211,4/18/17,JS,SK,SJI,4,9,4.9,Eagle Point,Eagle Point,4,Artificial lure,PWD,Green,8,4/18/17 11:48,4/18/17 11:51,0.05,0.2,0,0,0,0
,,212,213,4/18/17,JS,SK,SJI,4,10,4.1,Eagle Point,Eagle Point,4,Artificial lure,PWD,Green,8,4/18/17 11:53,4/18/17 11:56,0.05,0.2,0,0,0,0
,,214,218,4/18/17,JS,SK,SJI,4,11,4.11,Eagle Point,Eagle Point,4,Artificial lure,PWD,Green,8,4/18/17 12:06,4/18/17 12:22,0.266666667,1.066666667,3,2,2.8125,1.875
,,219,220,4/18/17,JS,SK,SJI,4,12,4.12,Eagle Point,Eagle Point,4,Artificial lure,PWD,Green,8,4/18/17 12:41,4/18/17 12:41,0.01,0.04,1,1,25,25
,,221,222,4/18/17,JS,SK,SJI,4,13,4.13,Eagle Point,Eagle Point,4,Artificial lure,PWD,Green,8,4/18/17 12:52,4/18/17 12:53,0.016666667,0.066666667,0,0,0,0
,,223,225,4/18/17,JS,SK,SJI,4,14,4.14,Eagle Point,Eagle Point,4,Artificial lure,PWD,Green,8,4/18/17 12:54,4/18/17 13:00,0.1,0.4,0,2,0,5.000000001
,,226,228,4/18/17,JS,SK,SJI,4,15,4.15,Eagle Point,Eagle Point,4,Artificial lure,PWD,Green,8,4/18/17 13:07,4/18/17 13:16,0.15,0.6,0,3,0,5.000000001
,,229,231,4/18/17,JS,SK,SJI,4,16,4.16,Pile Point,Pile Point,3,Herring,Herring,NA,12,4/18/17 13:36,4/18/17 13:39,0.05,0.15,1,1,6.666666668,6.666666668
,,232,233,4/18/17,JS,SK,SJI,4,17,4.17,Pile Point,Pile Point,3,Herring,Herring,NA,12,4/18/17 13:46,4/18/17 13:47,0.016666667,0.05,1,0,19.99999993,0
,,234,243,4/18/17,JS,SK,SJI,4,18,4.18,Pile Point,Pile Point,3,Herring,Herring,NA,12,4/18/17 13:50,4/18/17 14:36,0.766666667,2.3,3,4,1.304347826,1.739130435
,,244,246,4/18/17,JS,SK,SJI,4,19,4.19,Pile Point,Pile Point,3,Herring,Herring,NA,12,4/18/17 14:38,4/18/17 14:49,0.183333333,0.55,1,0,1.818181819,0
,,250,251,4/20/17,KA,SK,SJI,5,1,5.1,South Lopez,South Lopez,4,Artificial lure,Jigs,Motor oil w/green skirt,8,4/20/17 9:21,4/20/17 9:27,0.1,0.400000001,1,2,2.499999996,4.999999992
,,252,253,4/20/17,KA,SK,SJI,5,2,5.2,South Lopez,South Lopez,4,Artificial lure,Jigs,Motor oil w/green skirt,8,4/20/17 9:32,4/20/17 9:34,0.033333333,0.133333333,1,1,7.500000015,7.500000015
,,254,256,4/20/17,KA,SK,SJI,5,3,5.3,South Lopez,South Lopez,4,Artificial lure,Jigs,Motor oil w/green skirt,8,4/20/17 9:42,4/20/17 9:46,0.066666667,0.266666667,0,1,0,3.749999998
,,257,260,4/20/17,KA,SK,SJI,5,4,5.4,South Lopez,South Lopez,4,Artificial lure,Jigs,Motor oil w/green skirt,8,4/20/17 9:52,4/20/17 9:59,0.116666667,0.466666667,0,2,0,4.285714285
,,261,263,4/20/17,KA,SK,SJI,5,5,5.5,South Lopez,South Lopez,4,Artificial lure,Jigs,Motor oil w/green skirt,8,4/20/17 10:12,4/20/17 10:18,0.1,0.4,0,1,0,2.500000001
,,264,265,4/20/17,KA,SK,SJI,5,6,5.6,South Lopez,South Lopez,3,Artificial lure,Jigs,Motor oil w/green skirt,8,4/20/17 10:25,4/20/17 10:29,0.066666667,0.2,1,0,5.00000001,0
,,266,267,4/20/17,KA,SK,SJI,5,7,5.7,South Lopez,South Lopez,2,Artificial lure,Jigs,Motor oil w/green skirt,8,4/20/17 10:55,4/20/17 10:59,0.066666667,0.133333333,0,0,0,0
,,268,269,4/20/17,KA,SK,SJI,5,8,5.8,South Lopez,South Lopez,2,Artificial lure,Jigs,Motor oil w/green skirt,8,4/20/17 10:59,4/20/17 11:01,0.033333333,0.066666667,0,0,0,0
,,270,271,4/20/17,KA,SK,SJI,5,9,5.9,South Lopez,South Lopez,2,Artificial lure,Jigs,Motor oil w/green skirt,8,4/20/17 11:03,4/20/17 11:04,0.016666667,0.033333333,0,0,0,0
,,272,276,4/20/17,KA,SK,SJI,5,10,5.1,South Lopez,South Lopez,2,Artificial lure,Jigs,Motor oil w/green skirt,8,4/20/17 11:05,4/20/17 11:14,0.15,0.3,1,2,3.333333334,6.666666668
,,278,281,4/20/17,KA,SK,SJI,5,11,5.11,Pile Point,Pile Point,3,Live large,Greenling,NA,NA,4/20/17 11:54,4/20/17 12:19,0.416666667,1.25,1,0,0.8,0
,,281,282,4/20/17,KA,SK,SJI,5,12,5.12,Pile Point,Pile Point,2,Live large,Greenling,NA,NA,4/20/17 12:19,4/20/17 12:21,0.033333333,0.066666667,0,0,0,0
,,283,284,4/20/17,KA,SK,SJI,5,13,5.13,Pile Point,Pile Point,2,Live large,Greenling,NA,NA,4/20/17 12:32,4/20/17 12:34,0.033333333,0.066666667,1,0,15.00000003,0
,,285,286,4/20/17,KA,SK,SJI,5,14,5.14,Pile Point,Pile Point,2,Live large,Greenling,NA,NA,4/20/17 12:43,4/20/17 12:48,0.083333333,0.166666667,0,0,0,0
,,287,290,4/20/17,KA,SK,SJI,5,15,5.15,Pile Point,Pile Point,2,Live large,Greenling,NA,NA,4/20/17 12:52,4/20/17 13:08,0.266666667,0.533333333,2,0,3.75,0
,,291,293,4/20/17,KA,SK,SJI,5,16,5.16,Pile Point,Pile Point,2,Live large,Greenling,NA,NA,4/20/17 13:13,4/20/17 13:22,0.15,0.3,0,0,0,0
,,294,296,4/20/17,KA,SK,SJI,5,17,5.17,Eagle Point,Eagle Point,3,Herring,Herring,NA,12,4/20/17 13:34,4/20/17 13:40,0.1,0.3,0,1,0,3.333333334
,,297,300,4/20/17,KA,SK,SJI,5,18,5.18,Eagle Point,Eagle Point,3,Herring,Herring,NA,12,4/20/17 13:42,4/20/17 13:48,0.1,0.3,1,3,3.333333334,10
,,301,304,4/20/17,KA,SK,SJI,5,19,5.19,Eagle Point,Eagle Point,4,Herring,Herring,NA,12,4/20/17 13:50,4/20/17 13:58,0.133333333,0.533333333,0,1,0,1.875000001
,,305,308,4/20/17,KA,SK,SJI,5,20,5.2,Eagle Point,Eagle Point,4,Herring,Herring,NA,12,4/20/17 14:00,4/20/17 14:03,0.05,0.2,1,1,5.000000001,5.000000001
,,309,315,4/20/17,KA,SK,SJI,5,21,5.21,Eagle Point,Eagle Point,4,Herring,Herring,NA,12,4/20/17 14:10,4/20/17 14:30,0.333333333,1.333333333,3,1,2.250000001,0.75
,,318,322,4/21/17,KA,SK,SJI,6,1,6.1,Black Rock/Strawberry Island,Blakely channel,4,Herring,Herring,NA,12,4/21/17 9:10,4/21/17 9:17,0.116666667,0.466666667,0,2,0,4.285714285
,,323,326,4/21/17,KA,SK,SJI,6,2,6.2,Black Rock/Strawberry Island,Blakely channel,4,Herring,Herring,NA,12,4/21/17 9:23,4/21/17 9:29,0.1,0.4,0,3,0,7.500000002
,,327,329,4/21/17,KA,SK,SJI,6,3,6.3,Black Rock/Strawberry Island,Blakely channel,4,Herring,Herring,NA,12,4/21/17 9:38,4/21/17 9:40,0.033333333,0.133333334,0,2,0,14.99999995
,,330,332,4/21/17,KA,SK,SJI,6,4,6.4,Black Rock/Strawberry Island,Blakely channel,4,Herring,Herring,NA,12,4/21/17 9:49,4/21/17 9:56,0.116666667,0.466666667,0,1,0,2.142857142
,,333,334,4/21/17,KA,SK,SJI,6,5,6.5,Black Rock/Strawberry Island,Blakely channel,4,Herring,Herring,NA,12,4/21/17 10:00,4/21/17 10:03,0.05,0.2,0,1,0,5.000000001
,,335,343,4/21/17,KA,SK,SJI,6,6,6.6,Black Rock/Strawberry Island,Blakely channel,4,Herring,Herring,NA,12,4/21/17 10:14,4/21/17 10:41,0.45,1.8,1,3,0.555555555,1.666666666
,,345,346,4/21/17,KA,SK,SJI,6,7,6.7,Point Lawrence,Point Lawrence,2,Live large,Greenling,NA,NA,4/21/17 11:18,4/21/17 11:25,0.116666667,0.233333333,0,0,0,0
,,347,348,4/21/17,KA,SK,SJI,6,8,6.8,Point Lawrence,Point Lawrence,2,Live large,Greenling,NA,NA,4/21/17 11:32,4/21/17 11:39,0.116666667,0.233333333,0,0,0,0
,,349,350,4/21/17,KA,SK,SJI,6,9,6.9,Point Lawrence,Point Lawrence,2,Live large,Greenling,NA,NA,4/21/17 11:45,4/21/17 11:55,0.166666667,0.333333333,0,0,0,0
,,351,352,4/21/17,KA,SK,SJI,6,10,6.1,Point Lawrence,Point Lawrence,2,Live large,Greenling,NA,NA,4/21/17 11:58,4/21/17 12:02,0.066666667,0.133333333,0,2,0,15.00000003
,,353,356,4/21/17,KA,SK,SJI,6,11,6.11,Point Lawrence,Point Lawrence,2,Live large,Greenling,NA,NA,4/21/17 12:08,4/21/17 12:21,0.216666666,0.433333333,1,0,2.307692309,0
,,357,358,4/21/17,KA,SK,SJI,6,12,6.12,Point Lawrence,Point Lawrence,2,Live large,Greenling,NA,NA,4/21/17 12:28,4/21/17 12:45,0.283333333,0.566666667,0,0,0,0
,,359,361,4/21/17,KA,SK,SJI,6,13,6.13,Peapod/Buckeye/Sisters,Point Lawrence,4,Artificial lure,Jigs,Motor oil w/green skirt,8,4/21/17 13:07,4/21/17 13:17,0.166666667,0.666666667,0,1,0,1.5
,,362,364,4/21/17,KA,SK,SJI,6,14,6.14,Peapod/Buckeye/Sisters,Point Lawrence,4,Artificial lure,Jigs,Motor oil w/green skirt,8,4/21/17 13:20,4/21/17 13:32,0.2,0.8,0,1,0,1.25
,,365,366,4/21/17,KA,SK,SJI,6,15,6.15,Peapod/Buckeye/Sisters,Point Lawrence,4,Artificial lure,Jigs,Motor oil w/green skirt,8,4/21/17 13:37,4/21/17 13:55,0.3,1.2,0,0,0,0
,,367,369,4/21/17,KA,SK,SJI,6,16,6.16,Peapod/Buckeye/Sisters,Point Lawrence,4,Artificial lure,Jigs,Motor oil w/green skirt,8,4/21/17 13:55,4/21/17 14:01,0.1,0.4,0,1,0,2.500000001
,,370,371,4/21/17,KA,SK,SJI,6,17,6.17,Peapod/Buckeye/Sisters,Point Lawrence,4,Artificial lure,Jigs,Motor oil w/green skirt,8,4/21/17 14:05,4/21/17 14:11,0.1,0.4,0,0,0,0
